Name (Name),Adresse (Address),Website (Webseite)
Baugenossenschaft WIA Munchwilen,"Weinfeldstrasse 6, 9542 Munchwilen",www.wia-muenchwilen.ch
Baugenossenschaft Wiedikon,"Goldbrunnenstrasse 162, 8055 Zurich",N/A
Baugenossenschaft Wiese,"Saumackerstrasse 116, 8048 Zurich",N/A
Baugenossenschaft wohnen&mehr,"Im Westfeld 2, 4055 Basel",www.wohnen-mehr.ch
Baugenossenschaft Wohnwerk Futura,"Scheibenstrasse 6, 3600 Thun",www.wohnwerkfutura.ch
Baugenossenschaft Wohnwerk Luzern,"Industriestrasse 15, 6005 Luzern",www.wohnwerk-luzern.ch
Baugenossenschaft Wyttenbach,"Thomas-Wyttenbach-Strasse 11, 2502 Biel/Bienne",www.baugeno-wyttenbach.ch
Baugenossenschaft Zentralstrasse,"Unterfeldstrasse 3, 8050 Zurich",www.bg-zentral.ch
Baugenossenschaft zum Stab (BGS),"Friedhofstrasse 43, 4127 Birsfelden",www.zumstab.ch
"Baugenossenschaft Zum Stern, St.Gallen","Kolumbanstrasse 44, 9008 St. Gallen",www.bg-zum-stern.ch
Baugenossenschaft Zurlinden,"Altstetterstrasse 335, 8047 Zurich",www.bgzurlinden.ch
Baugenossenschaft Zurich 2,"Mutschellenstrasse 18, 8002 Zurich",www.bgz2.ch
Baugenossenschaft Zurichsee,"Gartenstrasse 22, 8700 Kusnacht",www.bgzuerichsee.ch
Baugenossenschaft Zurileu,"Schulstrasse 169, 8105 Regensdorf",www.bgzuerileu.ch
BDO AG,"Biberiststrasse 16, 4500 Solothurn",N/A
BEP Baugenossenschaft des eidg. Personals,"Imfeldstrasse 60, 8037 Zurich",www.bep-zuerich.ch
BGA Baugenossenschaft Altdorf,"Pfistergasse 13, 6460 Altdorf",www.bga-altdorf.ch
BGU Baugenossenschaft Uitikon,"Neuhausstrasse 25, 8142 Uitikon Waldegg",N/A
Biwo AG,"Bahnhofplatz 3, 3011 Bern",N/A
BIWOG - Bieler Wohnbaugenossenschaft,"Waldrainstrasse 63, 2503 Biel/Bienne",www.biwog.ch
Bodensee Baugenossenschaft,"Museumstrasse 35, 9004 St. Gallen",www.bodenseebau.ch
bonlieu Genossenschaft fur Wohnen und Kultur,"Kochstrasse 2, 8004 Zurich",N/A
Bundesamt fur Wohnungswesen BWO,"Hallwystrasse 4, 3003 Bern",www.bwo.admin.ch
BV Baugenossenschaft Vitznau,"Meienrisliweg 5, 6354 Vitznau",www.bv-vitznau.ch
Bunz Bau- & Siedlungsgenossenschaft,"Turmstrasse 33, 5610 Wohlen",N/A
C-Arts-Ouches Cooperative des Arts et des Ouches,"Rue Elisa-Serment 2A, 1018 Lausanne",N/A
Casanostra,"Hallerstrasse 11, 2501 Biel/Bienne",www.casanostra-biel.ch
Christlichsoziale Wohnbaugenossenschaft Schaffhausen,"St. Peterstrasse 5, 8200 Schaffhausen",N/A
CIGUE Cooperative de logement pour personnes en formation,"Bd. du Pont-d'Arve 23, 1205 Geneve",www.cigue.ch
"Cite des Melezes, Societe cooperative","Av. Leopold Robert 62, 2301 La Chaux-de-Fonds",N/A
Cite-Joie societe cooperative,"Ch. de Villardin 14, 1004 Lausanne",www.cite-joie.ch
CLE Cooperative du logement - Epalinges,"Case postale 69, 1066 Epalinges",N/A
CLL Cooperative du Logement Lutry,"Route des Plaines-du-Loup 32, 1018 Lausanne",N/A
CODHA Cooperative de l'habitat associatif,"Chemin du 23 Aout 7, 1205 Geneve",www.codha.ch
"Cofonpart, La Corbaz Fonciere Participation, cooperative","c/o Xama Immo Services SA, 1762 Givisiez",N/A
Colonies d'habitations pour personnes agees ou invalides,"Rue de la Gare 1, 2610 St-Imier",www.saint-immo.com
"Coop. d'habitation des Cheminots, Renens","Rue des Bouvreuils 12, 2800 Delemont",N/A
Coop. de construction et d'habitation Lyon-Delices,"Av. de l'Etang 57, 1201 Geneve 2",www.regierhone.ch
"Coopelia, Coop. soc. pr l'Encourag. a la constrasse de Logts Ind. et Ass.","Rue Etraz 5, 1001 Lausanne",www.coopelia.ch
Cooperativa abitativa VIV INSEMA,"Ri di Nus 17, 6652 Tegna",www.vivinsema.ch
Cooperativa di costruzioni Domus,"via Soldini 41, 6830 Chiasso",N/A
Cooperativa di Costruzioni La Moderna,"Via San Gottardo 11B, 6500 Bellinzona",N/A
Cooperative Batir Groupe,"Rue de la Gare 17, 1091 Bourg-en-Lavaux (Grandvaux)",N/A
Cooperative Cite Derriere,"Av. de la Gare 29, 1001 Lausanne",www.citederriere.ch
Cooperative Cosy-L,"Rue de Montchoisy 54, 1207 Geneve",N/A
Cooperative d'Ateliers,"Signalstrasse 43, 4058 Basel",N/A
Cooperative d'Habitation 15-15 bis des Gares,"Rue des Gares 15, 1201 Geneve",N/A
Cooperative d'Habitation La Neyruzienne,"Promenade des Vanils 6, 1740 Neyruz FR",N/A
Cooperative d'habitation Rocher 12,"Rue du Rocher 12, 2300 La Chaux-de-Fonds",N/A
Cooperative d'habitation Alte Backerei,"Route Principale 52, 2533 Evilard",N/A
Cooperative d'habitation Cite Derriere - Eidguenots 21,"Rue de Lyon 93, 1203 Geneve",N/A
Cooperative d'habitation Cite Derriere - route de Meyrin 280,"Rue de Lyon 93, 1203 Geneve",N/A
Cooperative d'habitation Cite Derriere - Terroux 5,"Rue de Lyon 93, 1203 Geneve",N/A
Cooperative d'habitation Cite Derriere Carouge/Geneve,"Rue de Lyon 93, 1211 Geneve 13",N/A
Cooperative d'habitation des cheminots de la Riviera,"Chemin de Bulesses 2b, 1814 La Tour-de-Peilz",N/A
Cooperative d'habitation des cheminots de Neuchatel,"Rue G.-A.Matile 99, 2000 Neuchatel",N/A
Cooperative d'habitation des cheminots du Pradex,"Chemin des Planches 12, 1028 Preverenges",N/A
Cooperative d'habitation du Damier,"Rue Numa-Droz 53, 2300 La Chaux-de-Fonds",N/A
Cooperative d'habitation du Vully,"Route de la gare 12, 1786 Sugiez",N/A
Cooperative d'habitation ecoresponsable La Bistoquette,"Route de Bardonnex 11, 1228 Plan-lesOuates",www.bistoquette.ch
Cooperative d'habitation Emphytehome 13,"25, rue des Gares, 1201 Geneve",N/A
"Cooperative d'habitation Falbringen, Bienne","Sonnhalde 26, 2502 Biel",N/A
Cooperative d'habitation Gilamont-Village,"Rue des Moulins 12, 1800 Vevey",N/A
Cooperative d'habitation La Mangrove,"Rue Liotard 67, 1204 Geneve",N/A
Cooperative d'habitation La Meute,"Parc-du-Loup 3, 1018 Lausanne",N/A
Cooperative d'habitation La Renouvelle,"Avenue Leopold-Robert 62, 2301 La Chaux-de-Fonds",www.gerimmo.ch
Cooperative d'habitation La Ruche,"Av. du Chatelaine 81B, 1211 Geneve 28",www.cogerim.ch
Cooperative d'habitation Le Chaumiere,"Rue du Grand Faubourg 23, 1147 Montricher",N/A
Cooperative d'habitation LES VOIRETS,"Rue Claudine-Levet 3, 1201 Geneve 2",N/A
Cooperative d'habitation Maison Neuve,"c/o Mme Veronique Bezuchet, 1233 Bernex",N/A
cooperative d'habitation Nouveau Comte,"Ch. de l'Ancien Comte 6, 1660 Chateau-d'Oex",www.chnc.ch
Cooperative d'habitation ouVERTure,"Chemin de Miolan 1, 1244 Choulex",N/A
Cooperative d'habitation Quercus,"10, ch. des Cordonnieres, 1243 Presigne",N/A
Cooperative d'habitation RHONE-ARVE,"Rue des Deux-Ponts 14, 1211 Geneve 8",N/A
Cooperative d'habitation Totem,"Chemin des Ouches 2A, 1203 Geneve",N/A
Cooperative d'Immeuble Malpierres 11 - Le Locle,"Malpierres 11, 2400 Le Locle",N/A
Cooperative des Grottes,"Rue Rothschild 62, 1202 Geneve",N/A
Cooperative dhabitation Arc-en-Ciel,"Av. de la Gare 29, 1001 Lausanne",N/A
Cooperative dhabitation EQUILIBRE,"Promenade de l'Aubier 19, 1217 Meyrin",www.cooperative-equilibre.ch
Cooperative dhabitation Les Estudiantines,"Avenue de la Gare 29, 1001 Lausanne",N/A
Cooperative i6,"Rue de l'Industrie 6, 1005 Lausanne",www.i-6.ch
Cooperative Immobiliere du Personnel Federal CIPEF,"Rue de la Mouline 12, 1022 Chavannes-pres-Renens",N/A
